Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
提供,ti2gong2,verbe,fournir,提供 
供应,gong1ying4,verbe ," fournir,approvisionner ",供應 
供水,gong1shui3,verbe,alimenter en eau,供水 
供电,gong1dian4,verbe,alimenter en électricité,供電 
造,zao4,verbe ," faire,construire ",造 
造成,zao4cheng2,verbe ," causer,occasionner ",造成 
造//句,zao4//ju4,verbe,faire une phrase,造//句 
竟,jing4,adverbe,finalement ; contre toute attente,竟 
究竟,jiu3jing4,adverbe,finalement,究竟 
竟然,jing4ran2,adverbe,contre toute attente,竟然 
值,zhi2,nom ; verbe,valeur ; valoir,值  
价值,jia4zhi2,nom,valeur,價值 
值得 ,zhi2de,verbe,valoir,值得 
值钱,zhi2qian2,adjectif ," valoir cher,précieux ",值錢 
引,yin3,verbe ," guider,conduire ; attirer,susciter,provoquer ; citer ",引 
吸引,xi1yin3,verbe,attirer,吸引 
吸引力,xi1yin3li4,nom,attraction,吸引力 
引起,yin3qi3,verbe ," susciter,provoquer ",引起 
引用,yin3yong4,verbe,citer,引用 
引号,yin3hao4,nom,guillemet,引号 
强,qiang2,qualificatif,fort,強 
强大,qiang2da4,qualificatif ," puissant,fort ",強大 
强国,qiang2guo2,nom,pays impuissant,強國 
坚强,jian1qiang2,adjectif ," fort,inébranlable ",堅強 
强烈,qiang2lie4,adjectif ," fort,intense ",強烈 
勇,yong3,nom ; qualificatif,courage,勇 
勇气,yong3qi4,nom,courage,勇氣 
勇敢,yong3gan3,qualificatif,courageux,勇敢 
人生,ren2sheng1,nom ," vie,existence ",人生 
熟人,shu2ren2,nom,connaissance,熟人 
住处,zhu4chu,nom,domicile,住處 
没有心思,mei2you4xin1si4,expression,ne pas être d'humeur à,沒有心思 
成天,cheng2tian1,adverbe,toute la journée,成天 
经历,jing1li4,verbe ; nom ," vivre,traverser,expérience ",經歷 
难忘,nan2wang4,adjectif,inoubliable,難忘 
合同,hétong,nom,contrat,合同 
地下室,di4xia4shi4,nom,sous-sol,地下室 
羨慕,xian4mu4,verbe,envier,羨慕 
早出晚归,zao3chu1-wan3gui1,expression,travailler du matin au soir,早出晚歸 
无数,wu2shu4,adjectif,innombrable,無數 
之一,zhi1yi1,nom,l'un des,之一 
共同,gong4tong2,adjectif,commun,共同 
发,fa1,verbe ," délivrer,distribuer ",發 
软件,ruan3jian4,nom,logiciel,軟件 
租//房,zu1//fang2,nom,louer un logement,租//房 
存,cun2,nom,déposer,存 
月光族,yue4guang1zu2,expression,personne ayant du mal à joindre les deux bouts,月光族 
几乎,ji1hu1,adverbe,presque,幾乎 
账单,zhang4dan1,nom,facture ,帳單 
长期,chang2qi1,nom,pendant longtemps,長期 
应付,ying4fu,adjectif,faire face à,應付 
首付,shou3fu4,nom,apport,首付 
贷款,dai4kuan3,verbe ; nom,faire un emprunt ; emprunt,貸款 
窝,wo1,nom,son chez soi,窩 
适应,shi4ying4,verbe,s'adapter à,適應 
实现,shi2xian4,verbe,(se) réaliser,實現 
反而,fan3er2,adverbe,au contraire,反而 
感觉,gan3jue2,verbe ; nom ," ressentir,sensation ",感覺 
爱情,ai4qiang2,nom,amour,愛情 
一线城市,yi1xian4cheng2shi4,nom,ville de premier rang,一線城市 
老百姓,lao3bai3xing4,nom,gens du peuple,老百姓 
数年,shu4nian2,nom,plusieurs années,數年 
进入,jin4ru4,verbe,entrer,進入 
不足,bu4zu2,qualificatif,insuffisant,不足 
户口,hu4kou3,nom,état-civil,戶口 
公平,gong1ping2,adjectif ," équitable,juste ",公平 
消费,xiao1fei4,verbe ; nom ," consommer,coût ",消費 
增强,zeng1qiang2,verbe,renforcer,增強 
相对,xiang1dui4,qualificatif,relatif,相對 
购买,gou4mai3,verbe,acheter,購買 
商品房,shang1pin3fang2,nom,logement résidentiel commercial,商品房 
意味着,yi4wei4zhe,verbe ," signifier,vouloir dire ",意味著 
出人头地,chu1ren2-tou2di4,expression,se distinguer des autres,出人頭地 
